,Champion,Role,Patch,Win,Summoner1,Summoner2,Turrets_Killed,Total_Minions_Killed,Total_Jungle_Monsters_Killed,Total_Damage_DealtToChampions,Item0,Item1,Item2,Item3,Item4,Item5,Item6,KDA,Kill_Participation,Damage_Share,Turret_Plates_Taken,Gold_Per_Minute,Damage_Per_Minute,Vision_Score_Per_Minute,Lane_Minions_Before_10_Minutes,Jungle_CS_Before_10_Minutes,Sol_Kills,Barons_Killed,Dragons_Killed,Void_Grubs_Killed,Rift_Heralds_Killed,Defense_Rune,Flex_Rune,Offense_Rune,Primary_Tree,Primary_Keystone,Primary_Choice1,Primary_Choice2,Primary_Choice3,Secondary_Tree,Secondary_Choice1,Secondary_Choice2
0,Aatrox,UTILITY,14.13,False,3,4,0,29,4,15010,3877,3111,6692,2021,3123,0,3364,2.0,0.5555555555555556,0.18262250459919724,0,248.91357983189596,455.68376749480456,2.239225076983212,13,0.0,0,0,1,4,1,5001,5008,5008,8200,8229,8224,8210,8232,8100,8105,8126
0,Darius,TOP,14.13,True,6,4,8,240,0,39937,6631,3047,3053,3742,2019,3133,3340,9.0,0.6,0.4248262389543507,0,561.1277435223504,1362.0897548054754,0.814680833046861,75,0.0,8,1,2,6,1,5001,5008,5005,8000,8010,9111,9105,8299,8400,8473,8242
0,Zed,JUNGLE,14.13,False,11,4,1,7,135,9940,3077,6699,3111,3814,1037,0,3340,2.0,0.5714285714285714,0.17722546467895656,0,388.3435868672903,384.1465471003243,1.4382092495506458,1,66.00000008940697,2,0,0,2,1,5001,5008,5005,8100,8112,8143,8138,8106,8000,9105,8014
0,Zed,JUNGLE,14.13,False,11,4,1,19,132,12257,6698,6699,3158,3035,2020,0,3364,1.8,0.6,0.20385780354490082,1,404.3517315322062,453.0117119258573,0.5212560357401754,0,64.00000008940697,3,0,1,5,1,5001,5008,5005,8100,8112,8143,8138,8106,8200,8210,8275
0,Chogath,JUNGLE,14.13,False,11,4,0,15,99,6921,3075,3068,3047,1029,0,0,3340,1.25,0.29411764705882354,0.0958451019402802,0,311.6013185425325,276.9347919399148,1.0147263497278312,3,56.00000011920929,0,0,0,5,1,5001,5008,5005,8100,9923,8126,8138,8106,8200,8232,8233
0,Chogath,JUNGLE,14.13,True,11,4,1,39,189,25113,3075,3068,3047,3110,2504,0,3340,17.0,0.5862068965517241,0.18410800107335598,1,427.127685755773,667.3332837179247,1.424330848953468,0,59.20000007748604,3,2,4,5,1,5001,5008,5005,8100,9923,8126,8138,8106,8200,8232,8233
0,Lux,UTILITY,14.13,True,14,4,3,42,0,16198,3871,3118,3020,4645,0,1052,3364,2.7142857142857144,0.5277777777777778,0.14607647928562356,0,310.3434435499369,488.5858382444773,2.9918197101876993,15,0.0,2,1,3,6,0,5001,5008,5008,8200,8229,8226,8210,8237,8300,8345,8347
0,Gragas,UTILITY,14.13,False,14,4,0,35,0,11977,3871,3070,3158,3100,1052,3145,3364,0.8,0.3333333333333333,0.11900075697142193,0,211.55691631625257,368.15757328008516,1.9313834050417513,14,0.0,0,0,0,3,0,5001,5008,5008,8200,8229,8226,8210,8237,8100,8126,8106
0,Gragas,UTILITY,14.13,False,14,4,0,114,4,38943,3871,3158,3100,3040,3165,4645,3364,1.6,0.3582089552238806,0.15982887884755023,0,316.12328538037434,850.8514971499242,2.466710899516419,13,0.0,0,2,5,0,0,5001,5008,5008,8200,8229,8226,8210,8237,8100,8126,8106
0,Sylas,JUNGLE,14.13,True,11,4,3,22,234,39713,2421,3020,3100,4645,4646,3135,3364,3.1666666666666665,0.48717948717948717,0.21132994221293755,0,419.5274317214323,932.9075667469647,0.7633907949252058,1,70.00000008940697,0,1,4,3,0,5001,5008,5008,8100,8128,8143,8138,8135,8200,8210,8275
0,Chogath,JUNGLE,14.13,True,11,4,1,32,189,24385,3075,3068,3047,2504,6665,0,3340,9.5,0.4418604651162791,0.13847569308539467,0,391.2099733994537,640.5985741494953,1.279775327340275,1,72.00000008940697,3,1,4,5,1,5001,5008,5005,8100,9923,8126,8138,8106,8200,8234,8232
0,Olaf,TOP,14.13,True,6,4,4,269,6,45886,6631,6333,6610,3047,3053,0,3340,12.0,0.42857142857142855,0.27013761246628215,3,523.6845129148892,1292.0446475429778,0.5130540087576645,73,0.0,7,0,4,5,1,5001,5008,5008,8000,8010,9111,9104,8299,8300,8410,8345
0,Trundle,TOP,14.13,True,12,4,9,241,6,42504,3074,3078,6333,3181,3153,3053,3340,1.5454545454545454,0.4857142857142857,0.29528319173102846,5,567.7210550912712,1115.6781252183996,0.705238008879232,70,2.0,5,2,2,1,1,5011,5008,5005,8400,8437,8446,8429,8451,8000,9104,8299
0,TwistedFate,MIDDLE,14.13,True,12,4,5,167,4,31245,3094,6657,3100,3020,1058,1058,3340,3.0,0.574468085106383,0.1976615217629873,0,435.23148005321144,977.4852830511497,0.8625356367900542,64,0.0,2,0,4,6,1,5001,5008,5005,8100,8112,8139,8138,8135,8300,8347,8352
0,Sylas,JUNGLE,14.13,False,11,4,0,26,177,31541,3157,3100,3020,3137,4645,1058,3364,4.8,0.8571428571428571,0.2681098733944238,0,410.81305636609756,816.0928919038936,1.407499198470611,0,66.00000011920929,1,0,2,3,0,5001,5008,5008,8100,8128,8143,8138,8135,8300,8304,8347
0,Malphite,MIDDLE,14.13,True,12,4,6,199,4,20031,3089,3118,3047,3100,4645,0,3340,5.5,0.39285714285714285,0.18301396809574194,1,444.5685326288641,599.8717149386707,0.9963683747088053,67,0.0,1,1,4,5,1,5001,5008,5008,8200,8229,8226,8210,8237,8400,8473,8242
0,Darius,TOP,14.13,True,6,4,2,224,5,29461,3111,3078,3053,3742,6333,0,3340,2.5714285714285716,0.3829787234042553,0.19147714527584508,1,469.2479949920586,837.0810248540693,1.2247687305915846,64,0.0,2,1,4,3,1,5001,5008,5005,8000,8010,9111,9105,8299,8400,8473,8242
0,Garen,JUNGLE,14.13,True,11,4,0,54,203,29362,6631,3046,3172,3742,4401,6665,3364,4.2,0.5,0.17794461950606646,0,447.8032293636585,664.5483270543085,0.7880039551361718,0,66.50000008940697,3,2,3,6,0,5001,5008,5005,8000,8010,9111,9105,8299,8200,8275,8234
0,Gragas,JUNGLE,14.13,False,11,4,0,10,149,15270,4646,3020,3100,3145,0,0,3364,1.0,0.3333333333333333,0.18508713133912863,0,336.29792389195956,495.4248219555209,0.8919775443446154,1,70.8000001013279,1,0,0,6,1,5001,5008,5008,8100,8128,8143,8138,8135,8200,8210,8232
0,Garen,TOP,14.13,True,12,4,6,256,12,35675,6631,3006,3031,3046,3742,4401,3340,2.4444444444444446,0.3728813559322034,0.20368908244802955,3,468.7691733110347,875.6951874383357,1.0148024661064603,62,0.0,8,0,3,0,0,5001,5008,5005,8000,8010,9111,9105,8299,8400,8444,8453
0,Zac,TOP,14.13,True,12,4,2,204,2,29893,6665,3047,3068,3075,3065,0,3340,4.6,0.5,0.22842836588659135,3,404.5993933040967,847.9009310864521,0.9134270614748348,59,0.0,3,1,4,0,1,5001,5001,5007,8400,8437,8446,8444,8453,8000,9111,8299
0,Zed,JUNGLE,14.13,True,11,4,0,23,117,7752,6698,6699,3158,1036,1036,2022,3364,2.6666666666666665,0.32,0.11580391130874497,0,386.50534760079347,336.6884911442313,0.4927129697455001,1,80.00000011920929,0,0,3,3,1,5001,5008,5005,8100,8112,8143,8138,8106,8200,8210,8275
0,Zed,JUNGLE,14.13,False,11,4,0,21,120,10457,6698,6699,3158,3155,3133,0,3364,3.3333333333333335,0.6666666666666666,0.2036685787686825,0,469.8228631346286,472.5362151874333,0.672731189857955,7,70.00000008940697,1,0,1,3,0,5001,5008,5005,8100,8112,8143,8138,8106,8200,8210,8275
0,Aatrox,MIDDLE,14.13,True,14,4,1,197,26,39267,3065,6610,3111,6692,3053,2019,3340,4.4,0.4583333333333333,0.2105604096480628,3,435.6232520868617,1033.804757974387,1.086619307604018,66,0.0,1,1,3,2,1,5001,5008,5008,8000,8010,9111,9105,8299,8400,8444,8453
0,Zed,JUNGLE,14.13,True,11,4,2,30,150,13481,6698,6699,3158,3035,2022,0,3364,10.0,0.35714285714285715,0.23067382542050693,0,467.5326418426209,535.1739208998362,1.0612894596878217,2,74.00000008940697,3,0,2,6,1,5001,5008,5005,8100,8112,8143,8138,8106,8200,8210,8275
0,Zed,JUNGLE,14.13,True,11,4,2,22,194,30136,6698,6694,6699,3158,3814,1036,3364,5.0,0.47619047619047616,0.20012261500088144,1,442.38727818650545,846.4184072270065,0.7483887824182505,6,78.00000008940697,4,1,3,2,0,5001,5008,5005,8100,8112,8143,8138,8106,8200,8210,8275
0,Garen,TOP,14.12,False,12,4,2,190,0,13496,6631,3046,1037,3006,0,0,3340,1.3333333333333333,0.3333333333333333,0.2571131839050368,2,376.69704049427844,575.5551908908501,0.9115683234201732,81,0.0,1,0,0,0,0,5001,5008,5005,8000,8010,9111,9105,8299,8400,8453,8444
0,Aatrox,TOP,14.12,False,12,4,1,231,0,25397,3053,3047,6610,3161,2021,1028,3340,1.6666666666666667,0.3125,0.20974474536195997,1,381.7453134124523,721.6135665601137,0.7504332201783035,70,0.0,2,0,0,0,0,5001,5008,5008,8000,8010,9111,9105,8299,8400,8453,8444
0,Aatrox,TOP,14.12,False,14,4,0,132,0,15383,1055,2031,6610,3047,2021,0,3340,0.6666666666666666,0.4,0.32805381637918196,0,330.15655205051854,647.6268032486208,0.6285591847635948,51,0.0,2,0,0,0,0,5001,5008,5008,8000,8010,9111,9105,8299,8400,8453,8473
0,LeeSin,JUNGLE,14.12,False,11,4,2,31,142,16561,3111,6692,6610,3053,1028,0,3340,2.1666666666666665,0.4482758620689655,0.16349012631945672,0,345.3620976930152,489.96792797375275,0.6815858604997674,0,58.000000059604645,1,0,3,5,0,5001,5008,5005,8000,8010,9111,9104,8014,8300,8304,8347
0,Sylas,JUNGLE,14.12,False,11,4,0,26,134,14976,4645,3100,3158,1058,1058,0,3340,4.0,0.75,0.2708605071199151,0,430.73777681901123,581.767178168937,0.9848543037242549,1,70.00000008940697,2,0,2,3,0,5001,5008,5008,8100,8128,8143,8138,8135,8300,8304,8347
0,Zed,MIDDLE,14.12,False,12,4,1,322,10,37937,6698,2504,3156,3111,3814,6694,3340,2.142857142857143,0.6,0.35466082992130027,0,417.1865775813089,788.5117024001057,0.8306206757980851,49,0.0,4,0,3,0,1,5001,5008,5008,8300,8369,8304,8313,8347,8200,8210,8237
0,Zed,MIDDLE,14.12,False,12,4,5,225,4,52078,6698,6699,3142,6694,3814,6696,3340,2.857142857142857,0.5,0.3213401470359597,0,435.06843309797426,1183.0032725878593,0.7207963393492693,63,0.0,4,2,2,0,0,5001,5008,5008,8300,8369,8304,8313,8347,8200,8210,8237
0,LeeSin,JUNGLE,14.12,False,11,4,1,17,110,18990,6610,6692,3111,3156,1037,0,3340,1.2222222222222223,0.4074074074074074,0.15400795607405365,0,324.60096530800934,533.2580342507516,0.9303810562866164,3,66.00000008940697,1,0,1,3,1,5001,5008,5005,8000,8010,9111,9104,8014,8300,8304,8347
0,Lillia,JUNGLE,14.12,False,11,4,0,64,136,29642,6653,2503,3020,3116,3137,0,3364,0.6363636363636364,0.3888888888888889,0.27809529960910717,1,412.04348867052505,924.7838497081614,0.39197804826006016,3,66.00000008940697,1,0,1,1,1,5001,5008,5007,8000,8010,9111,9105,8014,8300,8304,8347
0,TwistedFate,TOP,14.12,False,6,4,2,192,0,15642,1055,3009,3087,6672,3094,1043,3340,0.6666666666666666,0.18181818181818182,0.25296148628146625,3,452.2520687480039,607.2246149819133,0.45638946976169237,60,0.0,0,0,0,0,1,5001,5008,5005,8000,8021,9101,9104,8017,8200,8275,8234
0,Mordekaiser,TOP,14.12,True,12,4,6,194,14,38935,3157,3116,3047,6653,4633,6665,3340,9.0,0.72,0.5303164484846237,4,620.5379940799633,1434.8490625327674,1.1276435095889217,71,0.0,11,0,2,6,1,5001,5008,5005,8000,8010,9111,9105,8299,8400,8473,8453
0,Zed,JUNGLE,14.12,True,11,4,0,14,140,7161,6698,6699,3158,0,0,0,3364,8.0,0.8,0.2958366094743669,0,471.6847533381393,383.97096647406124,0.8157706123300572,2,76.00000011920929,1,0,1,6,0,5001,5008,5005,8100,8112,8143,8138,8106,8200,8275,8210
0,Zed,JUNGLE,14.12,False,11,4,1,11,199,42390,6698,6699,3158,6694,3814,3133,3340,3.3333333333333335,0.8,0.4278705577364555,0,423.3251765786925,1130.7175351176381,0.9763799625291298,0,68.00000008940697,7,0,3,5,0,5001,5008,5005,8100,8112,8143,8138,8106,8000,9105,8014
0,LeeSin,JUNGLE,14.12,False,11,4,1,6,206,22577,6610,3111,6692,3071,3053,2019,3340,2.5,0.8695652173913043,0.1630996567264634,0,350.75443591539846,501.5442747601434,0.9296220468315375,0,74.00000008940697,1,0,2,6,0,5001,5008,5005,8000,8010,9111,9104,8014,8300,8304,8347
0,Zed,JUNGLE,14.12,True,11,4,1,29,168,29865,6698,6692,6699,3158,3035,2022,3364,19.0,0.76,0.23814976124008727,0,439.2920497660896,920.4597876200505,1.161866287558101,0,63.60000014305115,1,1,1,6,1,5001,5008,5005,8100,8112,8139,8138,8106,8200,8275,8210
0,LeeSin,JUNGLE,14.12,False,11,4,2,15,108,29878,6333,6692,3071,6610,1028,3047,3340,3.7142857142857144,0.7222222222222222,0.300520426107384,0,490.5049882726977,1000.7724742238823,0.8732652321743479,2,48.800000071525574,1,1,1,3,0,5001,5008,5005,8000,8010,9111,9104,8014,8300,8304,8347
0,Zed,MIDDLE,14.12,False,12,4,2,211,0,20968,6699,1036,3158,3814,6694,2020,3340,1.3333333333333333,0.2962962962962963,0.19784683698845987,2,375.69258539060036,624.9229197228616,0.5888352412363089,71,0.0,3,0,0,3,0,5001,5008,5008,8100,8112,8139,8138,8106,8200,8210,8237
0,Zed,JUNGLE,14.11,True,11,4,2,26,147,23819,6698,6692,3814,3158,0,0,3364,6.333333333333333,0.7037037037037037,0.24451580093044126,0,416.1525356548361,818.3880049292184,0.8110149739566281,1,78.00000008940697,3,1,2,4,0,5001,5008,5005,8100,8112,8143,8138,8106,8200,8210,8275
0,Zed,JUNGLE,14.11,True,11,4,0,41,161,37627,6698,6699,3158,3814,3036,6692,3340,3.125,0.6410256410256411,0.32695809447935476,0,486.49947126848815,1040.985600456276,0.965892745209587,3,74.00000008940697,4,3,2,4,1,5001,5008,5005,8100,8112,8143,8138,8106,8200,8210,8275
0,Sett,TOP,14.11,True,14,4,8,232,2,35246,6631,3047,6610,2501,3181,1028,3340,4.5,0.5294117647058824,0.2849449048404134,0,445.3014665884904,955.0602896911423,0.8217381421773142,73,0.0,1,1,2,3,0,5001,5008,5005,8000,8010,9111,9104,8299,8400,8473,8451
